,start,end,res,function,parameter,threads,load_requests,load_threads,load_frequency,delay_ms,bandwidth_mbps,delay_ms_client_edge,bandwidth_mbps_client_edge,deploymentmode,repeat,time
200,52.274053468,52.293131228,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01907776000000183
201,52.37550559,52.394159819,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018654228999999134
202,52.476244567,52.494655175,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018410607999996387
203,52.577590179,52.595895763,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018305584000003705
204,52.680161078,52.698414607,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01825352899999899
205,52.781596542,52.801038444,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019441901999996958
206,52.883239516,52.902219713,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018980196999997645
207,52.984380939,53.003238398,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01885745900000302
208,53.086123696,53.104508449,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01838475299999942
209,53.187976945,53.20650521,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018528265000000488
210,53.275159812,53.294744178,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019584366000003683
211,53.376587172,53.396676436,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.02008926399999922
212,53.477338772,53.497330729,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019991956999994898
213,53.578645905,53.596978866,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018332960999998704
214,53.68126016,53.701038646,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019778485999999873
215,53.782694314,53.801940289,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019245975000004023
216,53.884324493,53.904777544,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.020453050999996947
217,53.985463673,54.004848349,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019384676000001377
218,54.087216414,54.105334821,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01811840700000289
219,54.189075352,54.207004224,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01792887199999882
220,54.276255096,54.295931498,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019676402000001758
221,54.377679932,54.398324537,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.020644605000001093
222,54.478437173,54.497180024,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01874285099999895
223,54.579752122,54.598910616,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019158493999995585
224,54.682361627,54.701265373,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018903745999999444
225,54.783775027,54.802235865,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018460838000002866
226,54.885427448,54.904285718,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018858269999995514
227,54.98656282,55.005523684,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.0189608640000003
228,55.088295717,55.106250074,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017954357000000698
229,55.190179365,55.20873415,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018554784999999185
230,55.277354168,55.295620736,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018266567999994265
231,55.378783663,55.397095698,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018312035000001003
232,55.479535289,55.498602574,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01906728500000554
233,55.580867303,55.599241059,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018373756000002572
234,55.683497963,55.701734866,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018236903000001803
235,55.784859892,55.80387306,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019013168000000746
236,55.886523505,55.90474322,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018219715000000747
237,55.987689051,56.006264363,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018575312000002953
238,56.089389531,56.107505923,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01811639199999604
239,56.191239114,56.208503183,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017264068999999438
240,56.278465696,56.297303814,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01883811800000501
241,56.379891297,56.39994548,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.02005418299999917
242,56.480633196,56.498657899,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018024703000001807
243,56.581943717,56.60019819,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01825447299999894
244,56.684601013,56.703135496,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018534483000003377
245,56.78594751,56.804785555,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018838045000002523
246,56.887633155,56.906781083,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019147927999995318
247,56.988777895,57.007521204,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018743309000001318
248,57.089581585,57.107985516,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018403931000001705
249,57.192328327,57.210141984,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017813657000004923
250,57.27955691,57.298766047,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01920913700000426
251,57.38099078,57.40000554,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01901476000000457
252,57.481595343,57.499288598,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01769325499999752
253,57.583087855,57.60219373,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01910587500000105
254,57.685696813,57.703859673,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018162859999996783
255,57.787037753,57.804916256,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017878502999998602
256,57.888712607,57.908588758,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019876150999998288
257,57.989861526,58.009233303,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019371777000003476
258,58.090736534,58.109242984,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018506449999996732
259,58.193434315,58.21411693,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.020682615000005455
260,58.280655266,58.298799463,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018144197000005136
261,58.382098798,58.39986252,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017763721999997983
262,58.482692627,58.503752613,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.02105998600000447
263,58.584196189,58.603423243,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01922705400000524
264,58.686803718,58.705517576,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01871385799999814
265,58.788101728,58.807133488,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019031759999997178
266,58.889801819,58.908635171,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01883335200000147
267,58.990960214,59.00876356,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017803346000000886
268,59.091829832,59.110120201,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01829036899999892
269,59.194526558,59.212856935,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018330376999998066
270,59.281751857,59.300260455,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018508597999996823
271,59.383197416,59.400880556,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01768313999999549
272,59.483806096,59.503350413,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01954431699999759
273,59.58529618,59.604672686,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019376506000000404
274,59.687925041,59.706320918,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018395877000003225
275,59.789203684,59.806863022,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017659338000001412
276,59.89089629,59.909049719,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01815342900000161
277,59.992053121,60.011706209,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019653088000005425
278,60.092926178,60.111271787,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018345609000000707
279,60.19562927,60.214564583,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018935313000000065
280,60.282852271,60.301732832,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01888056099999602
281,60.384292748,60.402371462,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01807871399999783
282,60.48490239,60.503148709,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01824631899999929
283,60.586400634,60.605245032,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01884439799999882
284,60.689033517,60.70763671,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018603193000004126
285,60.790301447,60.809481727,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019180280000000494
286,60.892000974,60.910136141,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01813516700000406
287,60.993160029,61.01351848,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.02035845099999989
288,61.094036189,61.113024373,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01898818400000124
289,61.196722703,61.214957953,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01823525000000359
290,61.283953095,61.303514608,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01956151299999931
291,61.385397228,61.404698761,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019301532999996596
292,61.486025503,61.505868624,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019843121000000963
293,61.587513658,61.606311973,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018798314999997956
294,61.690138603,61.708609213,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018470610000001386
295,61.791402699,61.810590694,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019187994999995794
296,61.893099189,61.910783257,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01768406800000122
297,61.994274243,62.013306744,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019032500999998092
298,62.095138972,62.113851758,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018712786000001813
299,62.197849949,62.214752578,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.016902629000000502
300,62.285048996,62.303854132,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018805135999997447
301,62.386490788,62.40429139,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017800601999994115
302,62.487125513,62.504515075,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017389561999998193
303,62.588603428,62.607431196,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.0188277680000013
304,62.691247155,62.708407861,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017160705999998527
305,62.79249248,62.810572485,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01808000500000162
306,62.894204496,62.912262612,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018058115999998847
307,62.995368392,63.01400474,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01863634799999403
308,63.096232104,63.113613832,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.0173817279999966
309,63.198947086,63.219169255,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.02022216900000018
310,63.286141942,63.305075924,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01893398200000007
311,63.387589038,63.406653948,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019064909999997326
312,63.488229948,63.507537684,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019307736000001796
313,63.589702304,63.608983541,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019281237000001283
314,63.692357317,63.711214125,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01885680799999534
315,63.793596721,63.812480599,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018883877999996912
316,63.895289448,63.914612838,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01932338999999672
317,63.996503045,64.016029549,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019526503999998113
318,64.097325641,64.115879666,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01855402500000025
319,64.200037586,64.219756692,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01971910600001081
320,64.287217326,64.30718435,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01996702399999606
321,64.388684823,64.406756405,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01807158199999037
322,64.489314868,64.507010882,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017696014000009086
323,64.590801726,64.609046584,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01824485800000275
324,64.693462406,64.71164223,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01817982400000062
325,64.794693561,64.813321246,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01862768499999845
326,64.896396848,64.914468883,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018072035000002984
327,64.997596744,65.017155768,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019559023999988767
328,65.098437393,65.11783803,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01940063700000394
329,65.201129811,65.221031765,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019901954000005162
330,65.288312937,65.307912181,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019599244000005456
331,65.389801763,65.41089069,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.021088927000008084
332,65.490410062,65.509825549,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019415487000003395
333,65.591887174,65.611727825,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019840651000009757
334,65.694567396,65.713336372,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018768976000004045
335,65.795783985,65.817635765,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.02185178000000576
336,65.897492996,65.916337888,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018844892000004165
337,65.998680269,66.016629685,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.017949415999993334
338,66.099537362,66.118010543,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01847318099999029
339,66.202233811,66.222106283,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019872472000002972
340,66.289413107,66.308325373,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.018912266000000955
341,66.390898981,66.410573232,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.019674250999997867
342,66.491507625,66.510914302,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01940667700000631
343,66.593005928,66.612550684,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.01954475600000194
344,66.6956696,66.712615942,200,4_movingaverage,10,1,300,10,1,25,100,1,10,edge,2,0.016946341999997117
